
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2025-12-12 14:10:17 / ................................................ ~ 1s
  2025-12-12 14:10:18 /build/assets/app-DyrHQKCE.css ............... ~ 0.09ms
  2025-12-12 14:10:18 /build/assets/app-CAiCLEjY.js ................ ~ 1.66ms
  2025-12-12 14:10:18 /livewire/livewire.js ........................ ~ 0.05ms
  2025-12-12 14:10:49 / ............................................ ~ 0.19ms
  2025-12-12 14:10:49 /build/assets/app-DyrHQKCE.css ............... ~ 0.07ms
  2025-12-12 14:10:49 /build/assets/app-CAiCLEjY.js ................ ~ 0.58ms
  2025-12-12 14:10:49 /livewire/livewire.js ........................ ~ 0.04ms
  2025-12-12 14:11:01 / ............................................ ~ 0.27ms
  2025-12-12 14:11:01 /build/assets/app-DyrHQKCE.css ............... ~ 0.10ms
  2025-12-12 14:11:01 /build/assets/app-CAiCLEjY.js ................ ~ 0.59ms
